sentence,tokens,cluster
"No straining You may shower, allow water to run over the incision and pat the aresa dry.","['strain', 'shower', 'allow', 'water', 'run', 'incision', 'pat', 'aresa', 'dry']",2
"By post-operative day 5, she was tolerating a regular diet, voiding spontaneously, ambulating independently, and pain was controlled with oral medications.","['post', 'operative', 'day', 'tolerate', 'regular', 'diet', 'void', 'spontaneously', 'ambulate', 'independently', 'pain', 'control', 'oral', 'medication']",3
-Gait: Dragging left leg when ambulating with some circumduction.,"['drag', 'leave', 'leg', 'ambulate', 'circumduction']",3
"Please get plenty of rest, continue to walk several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'walk', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"She had an uncomplicated recovery and was discharged home on postoperative day 1 in good condition: ambulating and urinating without difficulty, tolerating a regular diet, and with adequate pain control using PO medication. Medications on Admission: BETAMETHASONE DIPROPIONATE - 0.05 % Cream - apply to affected area(s) daily as directed CLONAZEPAM - 0.5 mg Tablet - 1 (One) Tablet(s) by mouth three times a day as needed for prn ESTRADIOL","['uncomplicated', 'recovery', 'discharge', 'home', 'postoperative', 'day', 'good', 'condition', 'ambulate', 'urinating', 'difficulty', 'tolerate', 'regular', 'diet', 'adequate', 'pain', 'control', 'medication', 'medication', 'admission', 'betamethasone', 'dipropionate', 'cream', 'apply', 'affect', 'daily', 'direct', 'clonazepam', 'tablet', 'mouth', 'time', 'day', 'need', 'prn', 'estradiol']",3
"His diet was advanced and well tolerated, he was ambulating, and pain was well controlled with PO medications.","['diet', 'advanced', 'tolerate', 'ambulate', 'pain', 'control', 'medication']",3
You make take leisurely walks and slowly increase your activity at your own pace once you are symptom free at rest.,"['leisurely', 'walk', 'slowly', 'increase', 'activity', 'pace', 'symptom', 'free', 'rest']",3
"Activity · We recommend that you avoid heavy lifting, running, climbing, or other strenuous exercise until your follow-up appointment. ·","['activity', 'recommend', 'avoid', 'heavy', 'lifting', 'run', 'climbing', 'strenuous', 'exercise', 'follow', 'appointment']",3
You may shower and allow soapy water to run over incision; no scrubbing of incision.,"['shower', 'allow', 'soapy', 'water', 'run', 'incision', 'scrubbing', 'incision']",2
"By discharge, she was able ambulate and was felt safe for discharge home with a cane per ___ evaluation.","['discharge', 'able', 'ambulate', 'feel', 'safe', 'discharge', 'home', 'cane', 'evaluation']",0
Ambulating independently.,"['ambulate', 'independently']",0
"The patient was encouraged to ambulate, sit and get out of bed, use the incentive spirometer, and had oxygen saturation levels monitored as indicated.","['patient', 'encourage', 'ambulate', 'sit', 'bed', 'use', 'incentive', 'spirometer', 'oxygen', 'saturation', 'level', 'monitor', 'indicate']",3
Prophylaxis: The patient was encouraged to get up and ambulate as early as possible. .,"['prophylaxis', 'patient', 'encourage', 'ambulate', 'early', 'possible']",3
"By the time of discharge on POD 5 the patient was ambulating freely, the wound was healing and pain was controlled with oral analgesics.","['time', 'discharge', 'pod', 'patient', 'ambulate', 'freely', 'wound', 'heal', 'pain', 'control', 'oral', 'analgesic']",3
"At the time of discharge on POD1, the patient was doing well, afebrile with stable vital signs, tolerating a regular diet, ambulating with cane and assistance, voiding without assistance, and pain was well controlled.","['time', 'discharge', 'patient', 'afebrile', 'stable', 'vital', 'sign', 'tolerate', 'regular', 'diet', 'ambulate', 'cane', 'assistance', 'void', 'assistance', 'pain', 'control']",3
Walk frequently.,"['walk', 'frequently']",4
Ambulating independently.,"['ambulate', 'independently']",0
"You were also concerned about back pain and difficulty walking, and told us that you had several falls over the past few weeks.","['concerned', 'pain', 'difficulty', 'walk', 'tell', 'fall', 'past', 'week']",0
Light household chores/activity and leisurely walking/activity is OK and should be continued.,"['light', 'household', 'chore', 'activity', 'leisurely', 'walk', 'activity', 'continue']",0
You should continue to walk several times a day.,"['continue', 'walk', 'time', 'day']",0
"While you were admitted, you became less confused and you were walking more comfortably.","['admit', 'confused', 'walk', 'comfortably']",0
"with a PMH significant for antiphospholipid syndrome with DVTs and PEs on Coumadin, recent L-sided breast cancer s/p lumpectomy, who presented to the ED with acute on chronic right lower extremity and right hip pain, making it difficult to ambulate.","['pmh', 'significant', 'antiphospholipid', 'syndrome', 'dvt', 'pes', 'coumadin', 'recent', 'sided', 'breast', 'cancer', 'lumpectomy', 'present', 'acute', 'chronic', 'right', 'low', 'extremity', 'right', 'hip', 'pain', 'make', 'difficult', 'ambulate']",3
"You are now ambulating, stooling, tolerating a regular diet, and your pain is controlled by pain medications by mouth.","['ambulate', 'stool', 'tolerate', 'regular', 'diet', 'pain', 'control', 'pain', 'medication', 'mouth']",3
Continue to ambulate several times per day. .,"['continue', 'ambulate', 'time', 'day']",0
"At discharge on POD1, patients pain was controlled with oral pain medications, tolerating regular diet, ambulating without assistance, and voiding without difficulty.","['discharge', 'pain', 'control', 'oral', 'pain', 'medication', 'tolerate', 'regular', 'diet', 'ambulate', 'assistance', 'void', 'difficulty']",3
"She states that she typically is able to ambulate a block before stopping to catch her breath, however in the past week she has been unable to take more than a few steps.","['state', 'typically', 'able', 'ambulate', 'block', 'stop', 'catch', 'breath', 'past', 'week', 'unable', 'step']",0
You may shower and allow soapy water to run over incision; no scrubbing of incision.,"['shower', 'allow', 'soapy', 'water', 'run', 'incision', 'scrubbing', 'incision']",2
She had one reported fall when getting out of her car in the ED but was able to stand back up and walk.,"['report', 'fall', 'get', 'car', 'able', 'stand', 'walk']",0
Has tightness in chest with ambulating since yesterday.,"['tightness', 'chest', 'ambulate', 'yesterday']",0
You can walk as much as you can tolerate.,"['walk', 'tolerate']",4
"The ___, he felt the pain in his leg had intensified to a burning sensation, non radiating with increased weakness, paresthesias, and difficulty walking.","['feel', 'pain', 'leg', 'intensify', 'burn', 'sensation', 'non', 'radiate', 'increase', 'weakness', 'paresthesia', 'difficulty', 'walk']",3
times a day you should go for a walk for ___,"['time', 'day', 'walk']",0
"You may shower, let the warm water run over the incision line and pat the area dry with a towel, do not rub.","['shower', 'let', 'warm', 'water', 'run', 'incision', 'line', 'pat', 'area', 'dry', 'towel', 'rub']",2
"warm and well perfused Physical Exam upon discharge: VS: 98.1, 72, 152/83, 18, 98%/RA Gen: NAD, ambulating in room Heent: EOMI, MMM Cardiac: Normal S1, S1.","['warm', 'perfuse', 'physical', 'exam', 'discharge', 'gen', 'nad', 'ambulate', 'room', 'heent', 'eomi', 'mmm', 'cardiac', 'normal']",3
"Please get plenty of rest, continue to walk several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'walk', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
You will be more comfortable if you do not sit in a car or chair for more than~45 minutes without getting up and walking around.,"['comfortable', 'sit', 'car', 'chair', 'minute', 'get', 'walk']",1
It is safe to walk up stairs. .,"['safe', 'walk', 'stair']",0
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"At baseline, Ms. ___ ambulates with a walker.","['baseline', 'ambulate', 'walker']",0
"One week ago, patient was walking down stairs and struck her left shin on a metal plant holder.","['week', 'ago', 'patient', 'walk', 'stair', 'strike', 'leave', 'shin', 'metal', 'plant', 'holder']",0
"You can shower, let the warm soapy water run over the area and keep as clean and dry as possible.","['shower', 'let', 'warm', 'soapy', 'water', 'run', 'area', 'clean', 'dry', 'possible']",2
Able to tandem walk without difficulty Romberg:,"['able', 'tandem', 'walk', 'difficulty', 'romberg']",0
[] OK to return to adult day care program when able to walk on own without assistance Medications on Admission: The Preadmission Medication list is accurate and complete.,"['return', 'adult', 'day', 'care', 'program', 'able', 'walk', 'assistance', 'medications', 'admission', 'preadmission', 'medication', 'list', 'accurate', 'complete']",0
Ensure he walks with one to one assistance as he has required while in patient,"['ensure', 'walk', 'assistance', 'require', 'patient']",0
", patient reports that she noticed shortness of breath today with walking in conjunction with bloody output from her ostomy tubes.","['patient', 'report', 'notice', 'shortness', 'breath', 'today', 'walk', 'conjunction', 'bloody', 'output', 'ostomy', 'tube']",3
It is safe to walk up stairs. .,"['safe', 'walk', 'stair']",0
We believe the urinary retention was due to the recent increase in the ziconotide dose running through your pump.,"['believe', 'urinary', 'retention', 'recent', 'increase', 'ziconotide', 'dose', 'run', 'pump']",3
"The following week, ___, his wife noticed that he appeared drunk when he walked and had to hold on to the wall with each step to prevent from falling.","['following', 'week', 'wife', 'notice', 'appear', 'drunk', 'walk', 'hold', 'wall', 'step', 'prevent', 'fall']",0
"HTN, DM run in the family.","['htn', 'run', 'family']",1
"You may shower (no direct spray on incision, let the soapy water run over incision, rinse and pat dry)","['shower', 'direct', 'spray', 'incision', 'let', 'soapy', 'water', 'run', 'incision', 'rinse', 'pat', 'dry']",2
She also endorses chest pain while walking that stops with slowing down.,"['endorse', 'chest', 'pain', 'walk', 'stop', 'slow']",1
She was ambulating with walker assistance and prepared for discharge to her ___ facility (___).,"['ambulate', 'walker', 'assistance', 'prepare', 'discharge', 'facility']",0
"Prophylaxis: The patient received subcutaneous heparin during this stay, and was encouraged to get up and ambulate as early as possible.","['prophylaxis', 'patient', 'receive', 'subcutaneous', 'heparin', 'stay', 'encourage', 'ambulate', 'early', 'possible']",3
"At the time of discharge on POD3, the patient was doing well, afebrile with stable vital signs, tolerating a regular diet, ambulating, having BM's, voiding without assistance, and pain was well controlled.","['time', 'discharge', 'patient', 'afebrile', 'stable', 'vital', 'sign', 'tolerate', 'regular', 'diet', 'ambulate', 'have', 'void', 'assistance', 'pain', 'control']",3
Social History: ___ Family History: FH: Pt's grandmother (___) reports that bipolar disorder runs in the pt's maternal family.,"['social', 'history', 'family', 'history', 'grandmother', 'report', 'bipolar', 'disorder', 'run', 'maternal', 'family']",3
Ambulating in hallway independently though it precipitates right tibial pain Pertinent Results: ADMISSION LABS:,"['ambulate', 'hallway', 'independently', 'precipitate', 'right', 'tibial', 'pain', 'pertinent', 'result', 'admission', 'labs']",3
"no acute distress, able to ambulate without difficulty HEENT: mucus membranes moist, nares clear, trachea at midline CV: regular rate, rhythm.","['acute', 'distress', 'able', 'ambulate', 'difficulty', 'heent', 'mucus', 'membrane', 'moist', 'nare', 'clear', 'trachea', 'midline', 'regular', 'rate', 'rhythm']",3
"Diagnosis: Coronary artery disease IDDM Hypercholesterolemia Diabetic retinopathy Discharge Condition: Alert and oriented x3, nonfocal Ambulating with steady gait Incisional pain managed with oral analgesics Incisions: Sternal - healing well, no erythema or drainage Leg Left - healing","['diagnosis', 'coronary', 'artery', 'disease', 'iddm', 'hypercholesterolemia', 'diabetic', 'retinopathy', 'discharge', 'condition', 'alert', 'orient', 'nonfocal', 'ambulate', 'steady', 'gait', 'incisional', 'pain', 'manage', 'oral', 'analgesic', 'incision', 'sternal', 'heal', 'erythema', 'drainage', 'leg', 'left', 'healing']",3
"The patient was discharged in stable condition, eating well, ambulating independently, voiding without difficulty, and with pain control on oral analgesics.","['patient', 'discharge', 'stable', 'condition', 'eat', 'ambulate', 'independently', 'void', 'difficulty', 'pain', 'control', 'oral', 'analgesic']",3
"The patient was tolerating a diet, ambulating, voiding without assistance, and pain was well controlled.","['patient', 'tolerate', 'diet', 'ambulate', 'void', 'assistance', 'pain', 'control']",3
Prophylaxis: The patient received subcutaneous heparin and ___ dyne boots were used during this stay and was encouraged to get up and ambulate as early as possible.,"['prophylaxis', 'patient', 'receive', 'subcutaneous', 'heparin', 'dyne', 'boot', 'stay', 'encourage', 'ambulate', 'early', 'possible']",3
None of the tests which were run show any evidence of infection around your brain or in your blood.,"['test', 'run', 'evidence', 'infection', 'brain', 'blood']",1
- Follow-up at the orthopedics clinic as scheduled below. - Continue to walk with assistance as much as you can to help the healing process.,"['follow', 'orthopedic', 'clinic', 'schedule', 'continue', 'walk', 'assistance', 'help', 'healing', 'process']",3
"On POD0, pain was well controlled on PCA, hydrated for urine output 30cc/hour, provided with pneumoboots and incentive spirometry for prophylaxis, and ambulated once.","['pain', 'control', 'pca', 'hydrate', 'urine', 'output', 'hour', 'provide', 'pneumoboot', 'incentive', 'spirometry', 'prophylaxis', 'ambulate']",3
"In fact, she stated that she felt well walking. .","['fact', 'state', 'feel', 'walk']",0
"After administration of IMDUR, we walked the patient down the hall, as well as up several flights of stairs.","['administration', 'imdur', 'walk', 'patient', 'hall', 'flight', 'stair']",0
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"By the time of discharge on post-operative day four he was ambulating freely, his wounds were healing well, and his pain was controlled with oral analgesics.","['time', 'discharge', 'post', 'operative', 'day', 'ambulate', 'freely', 'wound', 'heal', 'pain', 'control', 'oral', 'analgesic']",3
"She is currently chest pain free, although notes dyspnea with walking to the bathroom.","['currently', 'chest', 'pain', 'free', 'note', 'dyspnea', 'walk', 'bathroom']",0
"By the time of discharge on POD 4 the patient was ambulating freely, the wound was healing and pain was controlled with oral analgesics.","['time', 'discharge', 'pod', 'patient', 'ambulate', 'freely', 'wound', 'heal', 'pain', 'control', 'oral', 'analgesic']",3
"No straining You may shower, allow water to run over the incision and pat the aresa dry.","['strain', 'shower', 'allow', 'water', 'run', 'incision', 'pat', 'aresa', 'dry']",2
"You can shower, let the warm soapy water run over the area and keep as clean and dry as possible.","['shower', 'let', 'warm', 'soapy', 'water', 'run', 'area', 'clean', 'dry', 'possible']",2
She states that it has become increasingly more difficult to ambulate from her bedroom to the bathroom.,"['state', 'increasingly', 'difficult', 'ambulate', 'bedroom', 'bathroom']",0
"In spite of the difficulties thus encountered in arranging for aftercare, ___ was able to provide the following arrangements for the pt- intake at ___ which is walk in clinic between ___","['spite', 'difficulty', 'encounter', 'arrange', 'aftercare', 'able', 'provide', 'follow', 'arrangement', 'intake', 'walk', 'clinic']",0
"Discharge Instructions: Dear ___, You were admitted because you were having a lot of leg pain, making it difficult to walk.","['discharge', 'instruction', 'dear', 'admit', 'have', 'lot', 'leg', 'pain', 'make', 'difficult', 'walk']",0
"Worsening DOE since onset of symptoms, now unable to complete a block where she used to be able to walk a few blocks at a time without stopping ___","['worsen', 'doe', 'onset', 'symptom', 'unable', 'complete', 'block', 'able', 'walk', 'block', 'time', 'stop']",0
"We recommend that you avoid heavy lifting, running, climbing, or other strenuous exercise until your follow-up appointment.","['recommend', 'avoid', 'heavy', 'lifting', 'run', 'climbing', 'strenuous', 'exercise', 'follow', 'appointment']",3
You make take leisurely walks and slowly increase your activity at your own pace.,"['leisurely', 'walk', 'slowly', 'increase', 'activity', 'pace']",0
"Prophylaxis: The patient received subcutaneous heparin during this stay, and was encouraged to get up and ambulate as early as possible.","['prophylaxis', 'patient', 'receive', 'subcutaneous', 'heparin', 'stay', 'encourage', 'ambulate', 'early', 'possible']",3
"At the time of discharge, the patient was doing well, afebrile with stable vital signs, tolerating a regular diet, ambulating, voiding without assistance, and pain was well controlled.","['time', 'discharge', 'patient', 'afebrile', 'stable', 'vital', 'sign', 'tolerate', 'regular', 'diet', 'ambulate', 'void', 'assistance', 'pain', 'control']",3
"At discharge, the patient had pain well controlled with oral pain medications, was tolerating regular diet, ambulating without assistance.","['discharge', 'patient', 'pain', 'control', 'oral', 'pain', 'medication', 'tolerate', 'regular', 'diet', 'ambulate', 'assistance']",3
"The patient was also given a TLSO brace for ambulation (although initially in too much pain to ambulate), and the head of her bed was kept at <45 degrees.","['patient', 'give', 'tlso', 'brace', 'ambulation', 'initially', 'pain', 'ambulate', 'head', 'bed', 'keep', 'degree']",3
"Neuro: AOx3, no gross deficits, walking independently with cane Pertinent Results: ADMISSION LABS:","['neuro', 'gross', 'deficit', 'walk', 'independently', 'cane', 'pertinent', 'result', 'admission', 'labs']",3
He also ran out of tamsulosin several days ago so stopped taking this around the same time.,"['run', 'tamsulosin', 'day', 'ago', 'stop', 'take', 'time']",1
The patient also reported she recently ran out of most of her home medications.,"['patient', 'report', 'recently', 'run', 'home', 'medication']",0
He states the pain is relieved by running it under warm water.,"['state', 'pain', 'relieve', 'run', 'warm', 'water']",1
"second runs at 0.25-0.5 Hz but do not evolve ___ frequency, morphology, or location to meet criteria for seizure.","['second', 'run', 'evolve', 'frequency', 'morphology', 'location', 'meet', 'criterion', 'seizure']",1
"He was maintained on telemetry, which was only notable for several non-sustained, asymptomatic episodes of tachycardia upon standing and walking.","['maintain', 'telemetry', 'notable', 'non', 'sustained', 'asymptomatic', 'episode', 'tachycardia', 'stand', 'walk']",3
Patient's blood pressure on discharge was running high in 150s-160s.,"['patient', 'blood', 'pressure', 'discharge', 'run', 'high']",2
"At baseline, Ms. ___ ambulates with a walker.","['baseline', 'ambulate', 'walker']",0
Walking Stance: 1 Gait Score: ___,"['walk', 'stance', 'gait', 'score']",1
and case management who felt that she was unable to ambulate and would need further evaluation prior to placement in a rehab facility.,"['case', 'management', 'feel', 'unable', 'ambulate', 'need', 'evaluation', 'prior', 'placement', 'rehab', 'facility']",0
"Exercise should be limited to walking; no lifting, straining, or excessive bending.","['limit', 'walk', 'lifting', 'strain', 'excessive', 'bending']",1
Physical therapy and Occupational therapy were consulted for mobilization OOB to ambulate and ADL's.,"['physical', 'therapy', 'occupational', 'therapy', 'consult', 'mobilization', 'oob', 'ambulate', 'adl']",3
Her incision is healing well and after many Physical Therapy visits she is able to crutch walk safely.,"['incision', 'heal', 'physical', 'therapy', 'visit', 'able', 'crutch', 'walk', 'safely']",3
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"Discharge Diagnosis: Aortic stenosis, aortic insufficiency s/p Aortic valve replacement (Mech -23mm St. ___ valvular-induced cardiomyopathy pulmonary hypertension recent Pneumonia chronic systolic/diastolic heart failure Discharge Condition: alert and oriented ambulating with steady gait Sternal pain managed with dilaudid Discharge Instructions:","['discharge', 'diagnosis', 'aortic', 'stenosis', 'aortic', 'insufficiency', 'aortic', 'valve', 'replacement', 'mech', 'valvular', 'induce', 'cardiomyopathy', 'pulmonary', 'hypertension', 'recent', 'pneumonia', 'chronic', 'systolic', 'diastolic', 'heart', 'failure', 'discharge', 'condition', 'alert', 'orient', 'ambulate', 'steady', 'gait', 'sternal', 'pain', 'manage', 'dilaudid', 'discharge', 'instruction']",3
"""At that time ___ was reportedly """"lethargic"""" meaning sleeping frequently but able to sit up and walk without issue.""","['time', 'reportedly', 'lethargic', 'mean', 'sleep', 'frequently', 'able', 'sit', 'walk', 'issue']",0
"He has had these symptoms before, and usually needs to rest before ambulating.","['symptom', 'usually', 'need', 'rest', 'ambulate']",3
"Gait is wide-based, slight drift to right while walking, but walked ___","['gait', 'wide', 'base', 'slight', 'drift', 'right', 'walk', 'walk']",0
brief runs at ___,"['brief', 'run']",1
"The patient was tolerating diet as above per oral, ambulating, and pain was well controlled.","['patient', 'tolerate', 'diet', 'oral', 'ambulate', 'pain', 'control']",3
Prophylaxis: The patient received subcutaneous heparin and venodyne boots were used during this stay; was encouraged to get up and ambulate as early as possible.,"['prophylaxis', 'patient', 'receive', 'subcutaneous', 'heparin', 'venodyne', 'boot', 'stay', 'encourage', 'ambulate', 'early', 'possible']",3
"The patient was tolerating TF at goal and clears, ambulating, voiding without assistance, and pain was well controlled.","['patient', 'tolerate', 'goal', 'clear', 'ambulate', 'void', 'assistance', 'pain', 'control']",3
"the latter half of the recording, the frequency of the brief runs decrease to 0.5-0.75 Hz and predominantly have only a blunted morphology.","['half', 'recording', 'frequency', 'brief', 'run', 'decrease', 'predominantly', 'blunted', 'morphology']",1
"Exercise should be limited to walking; no lifting 10lbs, straining, or excessive bending.","['limit', 'walk', 'lifting', 'strain', 'excessive', 'bending']",1
Walk several times a day.,"['walk', 'time', 'day']",0
"No driving until post-op visit and you are no longer taking pain medications No excessive head turning, lifting, pushing or pulling (greater than 5 lbs) until your post op visit You may shower (no direct spray on incision, let the soapy water run over incision, rinse and pat dry) Your incision may be left uncovered, unless you have small amounts of drainage from the wound, then place a dry dressing over the area CALL THE OFFICE FOR: ___ Changes in vision (loss of vision, blurring, double vision, half vision) Slurring of speech or difficulty finding correct words to use Severe headache or worsening headache not controlled by pain medication A sudden change in the ability to move or use your arm or leg or the ability to feel your arm or leg Trouble swallowing, breathing, or talking Temperature greater than 101.5F for 24 hours Bleeding, new or increased drainage from incision or white, yellow or green drainage from incisions Followup Instructions: ___","['drive', 'post', 'visit', 'long', 'take', 'pain', 'medication', 'excessive', 'head', 'turning', 'lifting', 'push', 'pull', 'great', 'lbs', 'post', 'visit', 'shower', 'direct', 'spray', 'incision', 'let', 'soapy', 'water', 'run', 'incision', 'rinse', 'pat', 'dry', 'incision', 'leave', 'uncover', 'small', 'amount', 'drainage', 'wound', 'place', 'dry', 'dressing', 'area', 'office', 'vision', 'loss', 'vision', 'blurring', 'double', 'vision', 'half', 'vision', 'speech', 'difficulty', 'find', 'correct', 'word', 'use', 'headache', 'worsen', 'headache', 'control', 'pain', 'medication', 'sudden', 'change', 'ability', 'use', 'arm', 'leg', 'ability', 'feel', 'arm', 'leg', 'swallowing', 'breathing', 'talk', 'great', 'hour', 'new', 'increase', 'drainage', 'incision', 'white', 'yellow', 'green', 'drainage', 'incision', 'followup', 'instructions']",3
N/V. He has also been having difficulty ambulating ___,"['have', 'difficulty', 'ambulate']",0
He also says that he is in the hospital because of worsening back pain over the past week around his thoracic region that is exacerbated by walking and is in the region around the spine.,"['say', 'hospital', 'worsen', 'pain', 'past', 'week', 'thoracic', 'region', 'exacerbate', 'walk', 'region', 'spine']",3
weeks You should get up out of bed every day and gradually increase your activity each day You may walk and you may go up and down stairs Increase your activities as you can tolerate- do not do too much right away!,"['week', 'bed', 'day', 'gradually', 'increase', 'activity', 'day', 'walk', 'stair', 'activity', 'right', 'away']",3
You may shower and allow soapy water to run over incision; no scrubbing of incision.,"['shower', 'allow', 'soapy', 'water', 'run', 'incision', 'scrubbing', 'incision']",2
You will be more comfortable if you do not sit or stand more than ~45 minutes without getting up and walking around.,"['comfortable', 'sit', 'stand', 'minute', 'get', 'walk']",1
-Rehabilitation/ Physical Therapy: o2-3 times a day you should go for a walk for ___,"['physical', 'therapy', 'time', 'day', 'walk']",0
You can walk as much as you can tolerate.,"['walk', 'tolerate']",4
"You tolerated the procedure well and are ambulating, stooling, tolerating a regular diet, and your pain is controlled by pain medications by mouth.","['tolerate', 'procedure', 'ambulate', 'stool', 'tolerate', 'regular', 'diet', 'pain', 'control', 'pain', 'medication', 'mouth']",3
This brace is to be worn for comfort when you are walking.,"['brace', 'wear', 'comfort', 'walk']",1
You should continue to walk several times a day.,"['continue', 'walk', 'time', 'day']",0
He is able to walk in his building but after walking a few yards outdoords is he becomes hunched over.,"['able', 'walk', 'building', 'walk', 'yard', 'outdoord', 'hunch']",0
"By post-operative day 2, she was tolerating a regular diet, voiding spontaneously, ambulating independently, and pain was controlled with oral medications.","['post', 'operative', 'day', 'tolerate', 'regular', 'diet', 'void', 'spontaneously', 'ambulate', 'independently', 'pain', 'control', 'oral', 'medication']",3
Stayed overnight due to difficulty ambulating secondary to nerve block.,"['stay', 'overnight', 'difficulty', 'ambulate', 'secondary', 'nerve', 'block']",0
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"If you have been given a brace,this brace is to be worn when you are walking.","['give', 'brace', 'brace', 'wear', 'walk']",1
"Of note, the patient was having symptoms of shortness of breath later today before the procedure when walking up there stairs.","['note', 'patient', 'have', 'symptom', 'shortness', 'breath', 'later', 'today', 'procedure', 'walk', 'stair']",0
"Her resting O2 sat was initially 85%, but at the time of discharge she was satting 96% on RA, but would desaturate to 84% after walking 75-100feet.","['rest', 'sit', 'initially', 'time', 'discharge', 'satte', 'desaturate', 'walk']",1
weeks You should get up out of bed every day and gradually increase your activity each day You may walk and you may go up and down stairs Increase your activities as you can tolerate- do not do too much right away!,"['week', 'bed', 'day', 'gradually', 'increase', 'activity', 'day', 'walk', 'stair', 'activity', 'right', 'away']",3
You will be more comfortable if you do not sit or stand more than~45 minutes without getting up and walking around.,"['comfortable', 'sit', 'stand', 'minute', 'get', 'walk']",1
